area,perimeter,eccentricity,solidity,equivalent_diameter,intensity_min,intensity_max,intensity_mean,intensity_std
231.0,63.79898987322333,0.8895041745944327,0.9585062240663901,17.14987856615383,0.5317964503241862,0.6746348811317048,0.6146913971918886,0.04038133577946933
1167.0,139.84062043356596,0.8172183069305861,0.9782062028499581,38.54699143520717,0.26196869474097845,0.6746348811317048,0.46372858786134274,0.1173004548454233
1160.0,141.25483399593904,0.8326611633938049,0.9690893901420217,38.43120960746342,0.25004911913026395,0.6746348811317048,0.46346135171329783,0.11504749625378077
6087.0,292.8355697996826,0.4605634633265476,0.9811411992263056,88.0352719584766,0.0,0.6746348811317048,0.30516554429951637,0.19976868870921052
4179.0,243.27922061357856,0.3321845065184483,0.9768583450210379,72.94428049853015,0.1428384308075185,0.6746348811317048,0.38465426377479933,0.15358692133844182
869.0,124.66904755831214,0.8222922835248913,0.9570484581497798,33.26327050028088,0.4007466107800118,0.6746348811317048,0.5251610907755443,0.07978963223752476
912.0,126.56244584051392,0.8499677508668968,0.9589905362776026,34.07630356711932,0.4007466107800118,0.6746348811317048,0.5233012823827201,0.08784959072250116
1561.0,145.88225099390854,0.35605819848582887,0.9774577332498434,44.581688273680136,0.3651188682952387,0.6746348811317048,0.5243114626533711,0.08499090303161126
1801.0,159.19595949289334,0.1489737842767162,0.9708894878706199,47.886369877743164,0.28181282336760755,0.6667103281157901,0.4881585168062699,0.10756096751417238
998.0,115.84062043356595,0.4857344485772009,0.9813176007866273,35.64678198162763,0.46027899665989913,0.6746348811317048,0.5698998363483138,0.06041365836949395
